"","X_id","dzNum","latitude","longitude","bigLat","bigLon"
"2287",162331,14,37.65126,126.8874,"37.7","126.9"
"2324",162414,6,35.23735,128.6452,"35.2","128.6"
"2393",161996,5,35.15697,129.0215,"35.2","129"
"2692",163395,6,37.6065602,127.0926519,"37.6","127.1"
"2779",162043,5,35.2558633,126.375368,"35.3","126.4"
"2813",162305,6,35.1979338,126.8749298,"35.2","126.9"
"49",163145,5,33.41054,126.2654,"33.4","126.3"
"111",162808,14,37.75566,128.9204,"37.8","128.9"
"792",162628,5,37.62697,127.0676,"37.6","127.1"
"1013",162712,12,37.26518,127.0476,"37.3","127"
"1037",162983,21,37.27761,127.0271,"37.3","127"
"1153",162661,7,37.3910854,126.9308878,"37.4","126.9"
"1422",163085,14,37.43495,127.2108,"37.4","127.2"
"1513",163084,17,33.34177,130.6761,"33.3","130.7"
"1530",163302,6,37.72339,126.7485,"37.7","126.7"
"1556",162809,6,35.2093223,128.7031423,"35.2","128.7"
"1644",162732,7,37.39366,126.9128,"37.4","126.9"
"1683",162714,6,35.81165,128.7623,"35.8","128.8"
"1782",162937,0,37.43741,126.7936,"37.4","126.8"
"1813",162669,4,37.32425,127.1192,"37.3","127.1"
"1884",162680,6,36.67467,127.4876,"36.7","127.5"
"1918",162613,14,36.79124,126.9964,"36.8","127"
"2065",162655,7,37.51878,126.9687,"37.5","127"
"2408",163336,6,37.48014,127.1299,"37.5","127.1"
"2478",162780,5,37.37351,127.9409,"37.4","127.9"
"2485",163461,4,35.2654,129.0175,"35.3","129"
"2756",163031,5,35.1399383,126.8893014,"35.1","126.9"
"2757",163034,5,35.1399383,126.8893014,"35.1","126.9"
"2758",163039,0,35.1399383,126.8893014,"35.1","126.9"
"2963",162630,6,37.6477856,127.0606944,"37.6","127.1"
"2972",162728,22,36.0825264,129.3842744,"36.1","129.4"
"3146",163536,14,35.1879325,126.8122836,"35.2","126.8"
"137",163805,5,36.317,127.4653,"36.3","127.5"
"149",163589,6,36.89995,126.6298,"36.9","126.6"
"452",163522,5,37.7079024,127.1654271,"37.7","127.2"
"509",163799,5,37.46613,126.8011,"37.5","126.8"
"701",163436,6,37.53615,126.7326,"37.5","126.7"
"778",163608,14,37.64883,127.0299,"37.6","127"
"821",163887,7,36.76533,127.0118,"36.8","127"
"1034",163649,6,35.12846,126.8922,"35.1","126.9"
"1215",164394,21,37.52726,126.8989,"37.5","126.9"
"1496",163448,7,37.5031,126.8846,"37.5","126.9"
"1601",164521,6,37.52327,126.855,"37.5","126.9"
"1852",163850,5,37.55483,126.7434,"37.6","126.7"
"1868",163286,7,37.32701,127.9285,"37.3","127.9"
"1987",163547,5,35.10639,126.907,"35.1","126.9"
"2154",163739,21,37.27665,127.148,"37.3","127.1"
"2173",163715,5,37.63478,126.8364,"37.6","126.8"
"2256",164106,7,35.15988,129.0648,"35.2","129.1"
